"rid","aircraft","airport","model","impact","flight_date","damage","airline","origin","flight_phase","wildlife_size","sky_conditions","pilot_warned_flag","altitude_ft","heavy_flag"
31,"Airplane","Ted Stevens INTL","B737","Engine Shut Down","2023-06-15 0:00","Damage","Delta Airlines","Georgia","Approach","Small","No Cloud","N",2000,"Yes"
32,"Airplane","London Gatwick","A320","None","2023-06-15 0:00","No damage","British Airways","United Kingdom","Climb","Medium","Some Cloud","Y",100,"No"
33,"Airplane","Munich Airport","B747","Precautionary Landing","2023-06-15 0:00","Damage","Lufthansa","Germany","Approach","Small","Overcast","N",500,"Yes"
34,"Airplane","Zurich Airport","A380","None","2023-06-15 0:00","No damage","Swiss International Air Lines","Switzerland","Climb","Medium","No Cloud","N",2000,"No"
35,"Airplane","Vienna International","B787","Engine Shut Down","2023-06-15 0:00","Damage","Austrian Airlines","Austria","Approach","Large","Some Cloud","Y",300,"Yes"
36,"Airplane","Brussels Airport","A350","None","2023-06-15 0:00","No damage","Brussels Airlines","Belgium","Approach","Small","Overcast","N",1500,"No"
37,"Airplane","JFK INTL","A330","None","2023-06-15 0:00","No damage","Etihad Airlines","Sweden","Climb","Medium","No Cloud","N",1000,"Yes"
38,"Airplane","Oslo Airport","B777","Precautionary Landing","2023-06-15 0:00","Damage","Norwegian Air Shuttle","Norway","Climb","Large","Some Cloud","Y",200,"No"
39,"Airplane","Helsinki-Vantaa","A320","None","2023-06-15 0:00","No damage","Finnair","Finland","Approach","Small","Overcast","N",700,"Yes"
40,"Airplane","Copenhagen Airport","B737-800","None","2023-06-15 0:00","No damage","Danish Air Transport","Denmark","Climb","Medium","No Cloud","N",400,"No"
